Tarih,TP DK USD A YTL,
01-08-2018,4.90,
02-08-2018,4.92,
03-08-2018,5.05,
06-08-2018,5.08,
07-08-2018,5.15,
08-08-2018,5.26,
09-08-2018,5.28,
10-08-2018,5.40,
13-08-2018,5.94,
14-08-2018,6.88,
15-08-2018,6.55,
16-08-2018,6.14,
17-08-2018,5.80,
20-08-2018,5.99,
21-08-2018,,
22-08-2018,,
23-08-2018,,
24-08-2018,,
27-08-2018,5.99,
28-08-2018,6.19,
29-08-2018,6.22,
30-08-2018,,
31-08-2018,6.41,
03-09-2018,6.55,
04-09-2018,6.62,
05-09-2018,6.68,
06-09-2018,6.68,
07-09-2018,6.59,
10-09-2018,6.47,
11-09-2018,6.45,
12-09-2018,6.45,
13-09-2018,6.39,
14-09-2018,6.36,
17-09-2018,6.07,
18-09-2018,6.26,
19-09-2018,6.36,
20-09-2018,6.31,
21-09-2018,6.27,
24-09-2018,6.27,
25-09-2018,6.23,
26-09-2018,6.12,
27-09-2018,6.12,
28-09-2018,6.08,
01-10-2018,5.99,
02-10-2018,5.97,
03-10-2018,6.01,
04-10-2018,6.03,
05-10-2018,6.12,
08-10-2018,6.15,
09-10-2018,6.15,
10-10-2018,6.12,
11-10-2018,6.09,
12-10-2018,5.98,
15-10-2018,5.90,
16-10-2018,5.81,
17-10-2018,5.78,
18-10-2018,5.68,
19-10-2018,5.55,
22-10-2018,5.61,
23-10-2018,5.65,
24-10-2018,5.77,
25-10-2018,5.72,
26-10-2018,5.68,
29-10-2018,,
30-10-2018,5.62,
31-10-2018,5.52,
01-11-2018,5.50,
02-11-2018,5.57,
05-11-2018,5.46,
06-11-2018,5.45,
07-11-2018,5.34,
08-11-2018,5.36,
09-11-2018,5.41,
12-11-2018,5.48,
13-11-2018,5.48,
14-11-2018,5.48,
15-11-2018,5.46,
16-11-2018,5.42,
19-11-2018,5.34,
20-11-2018,5.32,
21-11-2018,5.33,
22-11-2018,5.35,
23-11-2018,5.30,
26-11-2018,5.28,
27-11-2018,5.24,
28-11-2018,5.24,
29-11-2018,5.25,
30-11-2018,5.16,
03-12-2018,5.16,
04-12-2018,5.19,
05-12-2018,5.27,
06-12-2018,5.37,
07-12-2018,5.36,
10-12-2018,5.33,
11-12-2018,5.28,
12-12-2018,5.35,
13-12-2018,5.36,
14-12-2018,5.36,
17-12-2018,5.37,
18-12-2018,5.38,
19-12-2018,5.35,
20-12-2018,5.33,
21-12-2018,5.26,
24-12-2018,5.27,
25-12-2018,5.29,
26-12-2018,5.30,
27-12-2018,5.28,
28-12-2018,5.29,
31-12-2018,5.26,
01-01-2019,,
02-01-2019,5.28,
03-01-2019,5.33,
04-01-2019,5.46,
07-01-2019,5.41,
08-01-2019,5.36,
09-01-2019,5.43,
10-01-2019,5.50,
11-01-2019,5.46,
14-01-2019,5.42,
15-01-2019,5.51,
16-01-2019,5.44,
17-01-2019,5.40,
18-01-2019,5.36,
21-01-2019,5.34,
22-01-2019,5.34,
23-01-2019,5.35,
24-01-2019,5.31,
25-01-2019,5.27,
28-01-2019,5.26,
29-01-2019,5.28,
30-01-2019,5.33,
31-01-2019,5.28,
01-02-2019,5.21,
04-02-2019,5.19,
05-02-2019,5.22,
06-02-2019,5.20,
07-02-2019,5.21,
08-02-2019,5.24,
11-02-2019,5.24,
12-02-2019,5.26,
13-02-2019,5.26,
14-02-2019,5.24,
15-02-2019,5.29,
18-02-2019,5.26,
19-02-2019,5.29,
20-02-2019,5.31,
21-02-2019,5.30,
22-02-2019,5.31,
25-02-2019,5.32,
26-02-2019,5.31,
27-02-2019,5.29,
28-02-2019,5.29,
01-03-2019,5.32,
04-03-2019,5.34,
05-03-2019,5.38,
06-03-2019,5.37,
07-03-2019,5.38,
08-03-2019,5.43,
11-03-2019,5.45,
12-03-2019,5.43,
13-03-2019,5.44,
14-03-2019,5.45,
15-03-2019,5.46,
18-03-2019,5.46,
19-03-2019,5.45,
20-03-2019,5.46,
21-03-2019,5.47,
22-03-2019,5.44,
25-03-2019,5.53,
26-03-2019,5.65,
27-03-2019,5.49,
28-03-2019,5.33,
29-03-2019,5.54,
01-04-2019,5.63,
